	English	Arabic	time/m.s
93	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.3
94	"“Come on at a footpace! d’ye mind me? And if you’ve got holsters to that saddle o’ yourn, don’t let me see your hand go nigh ’em. For I’m a devil at a quick mistake, and when I make one it takes the form of Lead. So now let’s look at you.”
"	"[{'translation_text': 'وإذا كان لديك حوافر لهذا السرج، فلا تدعني أرى يدك تقترب منها، لأنني شيطان في خطأ سريع، وعندما أصنع واحدة تأخذ شكل الرصاص، فلننظر إليك الآن"".'}]"	1.26
95	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
96	"The figures of a horse and rider came slowly through the eddying mist, and came to the side of the mail, where the passenger stood. The rider stooped, and, casting up his eyes at the guard, handed the passenger a small folded paper. The rider’s horse was blown, and both horse and rider were covered with mud, from the hoofs of the horse to the hat of the man.
"	[{'translation_text': 'فَقَدْ بَدَأَتْ أَحْدَاثُ ٱلْفَرْسِ وَٱلرَّاكِبُ بِبَطْلٍ مِنْ ضَرْبِ ٱلدَّرْسِ ٱلْمَسِيحِيِّ ، وَجَاءَتْ إِلَى جَمَاعَةِ ٱلْمَسِيحِ ، وَقَدْ صَارَ ٱلرَّجُلُ ٱلْمَسْتَقْدُورِ ، وَقَدْ سَلَّمَ ٱلْمَسِيحُ وَٱلرَّاجِبُ مِنْ طِينٍ ، مِنْ حَوَافِ ٱلْحَصَانِ إِلَى قَبْعِ ٱلرَّانِ .'}]	6.96
97	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
98	"“Guard!” said the passenger, in a tone of quiet business confidence.
"	"[{'translation_text': 'وقال الراكب ""الحرس!"" في جو من الثقة الهادئة في الأعمال التجارية.'}]"	0.7
99	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
100	"The watchful guard, with his right hand at the stock of his raised blunderbuss, his left at the barrel, and his eye on the horseman, answered curtly, “Sir.”
"	[{'translation_text': 'واجاب الحارس الساهر ويده اليمنى على محفظة طهارته الرابحة، يساره على البرميل، وعيناه على الفرسان، اجابا بوقاحة يا سيدي.'}]	1.47
101	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
102	"“There is nothing to apprehend. I belong to Tellson’s Bank. You must know Tellson’s Bank in London. I am going to Paris on business. A crown to drink. I may read this?”
"	"[{'translation_text': '""لا يوجد شيء للقبض عليه، فأنا أنتمي إلى بنك تيلسون، ويجب أن تعرف بنك تيلسون في لندن، وأنا ذاهب إلى باريس في مجال الأعمال التجارية، وتاج للشرب، ويمكنني قراءة هذا؟ "".'}]"	1.44
103	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
104	"“If so be as you’re quick, sir.”
"	"[{'translation_text': '""إذا كان الأمر كذلك كما كنت سريعة، يا سيدي"".'}]"	0.47
105	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
106	"He opened it in the light of the coach-lamp on that side, and read–first to himself and then aloud: “`Wait at Dover for Mam’selle.’ It’s not long, you see, guard. Jerry, say that my answer was, RECALLED TO LIFE.”
"	"[{'translation_text': 'لقد فتحه في ضوء رزمة المدرب على هذا الجانب، ثم قرأ أولاً لنفسه ثم علو بصوت عال: ""انتظر في دوفر من أجل مامسيل. إنه ليس طويلاً، كما ترى، أيها الحارس. قل جيري إن إجابتي كانت موجهة إلى الحياة"".'}]"	2.01
107	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
108	"Jerry started in his saddle. “That’s a Blazing strange answer, too,” said he, at his hoarsest.
"	"[{'translation_text': 'لقد بدأ جيري في سرجه. وقال: ""هذه إجابة غريبة لامعة، أيضاً""، في مذبحته.'}]"	0.99
109	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
110	"“Take that message back, and they will know that I received this, as well as if I wrote. Make the best of your way. Good night.”
"	"[{'translation_text': '""أرجعوا تلك الرسالة، وسيعلمون أنني تلقيت هذه الرسالة، وكذلك لو كتبت، وابذلوا قصارى جهدكم، طابت ليلتكم"".'}]"	1.09
111	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
112	"With those words the passenger opened the coach-door and got in; not at all assisted by his fellow-passengers, who had expeditiously secreted their watches and purses in their boots, and were now making a general pretence of being asleep. With no more definite purpose than to escape the hazard of originating any other kind of action.
"	[{'translation_text': 'وبهذه الكلمات فتح الراكب باب المدرب ودخل؛ ولم يساعده على الإطلاق زملاؤه الراكبون، الذين قاموا على وجه السرعة بإخفاء ساعاتهم وحقائبهم في أحذيتهم، وهم الآن يدّعون بشكل عام أنهم نائمون، دون أن يكون غرضهم أكثر تحديداً من الهروب من خطر أي نوع آخر من الأعمال.'}]	2.0
113	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
114	"The coach lumbered on again, with heavier wreaths of mist closing round it as it began the descent. The guard soon replaced his blunderbuss in his arm-chest, and, having looked to the rest of its contents, and having looked to the supplementary pistols that he wore in his belt, looked to a smaller chest beneath his seat, in which there were a few smith’s tools, a couple of torches, and a tinder-box. For he was furnished with that completeness that if the coach-lamps had been blown and stormed out, which did occasionally happen, he had only to shut himself up inside, keep the flint and steel sparks well off the straw, and get a light with tolerable safety and ease (if he were lucky) in five minutes.
"	[{'translation_text': 'وبعد أن نظر إلى بقية محتوياتها، وبعد أن نظر إلى المسدسات التكميلية التي ارتداها في حزامه، نظر إلى صندوق أصغر تحت مقعده، حيث كان هناك عدد قليل من أدوات الحداد، واثنين من المشاعل، وصندوق التاندر. ولأنه تم تزويده بهذا الإكمال، فإنه إذا انفجرت مصابيح المدربين وانفجرت، وهو ما حدث في بعض الأحيان، لم يكن عليه إلا أن يغلق نفسه داخله، ويبقي الشعلة والصلب يشعلان بشكل جيد بعيداً عن القشة، ويحصل على ضوء مع السلامة والراحة الممكن تحملهما (إذا كان محظوظاً) في خمس دقائق.'}]	4.27
